id,ticker,company_name,current_price,day_high,day_low,day_change_pct,week_52_high,week_52_low,pe_ratio,market_cap,volume,dividend_yield,last_updated,added_at
30,SUNPHARMA,Sun Pharmaceutical Industries Limited,1745.7,1751.3,1721.0,-0.38801992,1851.2,1548.0,38.308098,4188518744064.0,2318755.0,0.94,2026-03-04 07:46:40.624051+00:00,2026-03-04 07:41:24.293947+00:00
31,M_M,M_M,,,,,,,,,,,2026-03-04 11:37:01.349204+00:00,2026-03-04 07:41:35.179070+00:00
33,LGEINDIA,LGEINDIA,1544.4,1603.0,1542.2,-3.014318,1749.0,1325.5,59.860466,1048296161280.0,856976.0,,2026-03-04 07:46:41.838515+00:00,2026-03-04 07:42:17.661656+00:00
34,MAXHEALTH,Max Healthcare Institute Limited,1055.6,1067.8,1039.5,-2.583741,1314.3,933.8,72.69972,1028048158720.0,2404135.0,0.14,2026-03-04 07:46:42.161240+00:00,2026-03-04 07:42:33.710676+00:00
35,BOSCHLTD,Bosch Limited,33700.0,34900.0,33600.0,-4.721515,41945.0,25921.6,36.090256,994221162496.0,20999.0,1.45,2026-03-04 07:46:42.536085+00:00,2026-03-04 07:42:52.487117+00:00
36,GMRAIRPORT,GMR Airports Limited,95.42,95.48,92.5,-1.1084634,110.36,70.53,,1007537487872.0,7673688.0,,2026-03-04 07:46:42.777839+00:00,2026-03-04 07:43:05.502095+00:00
37,MANKIND,Mankind Pharma Limited,2212.2,2235.0,2199.6,-1.482902,2716.5,2012.3,51.31524,913207328768.0,426559.0,0.09,2026-03-04 07:46:43.114367+00:00,2026-03-04 07:43:17.034701+00:00
38,BHEL,Bharat Heavy Electricals Limited,249.4,258.95,247.9,-4.863628,305.9,188.0,107.03863,868426579968.0,9704940.0,0.19,2026-03-04 07:46:43.432778+00:00,2026-03-04 07:43:27.567436+00:00
39,DABUR,Dabur India Limited,490.75,504.95,488.4,-3.31791,577.0,433.3,47.14217,870438404096.0,518228.0,1.58,2026-03-04 07:46:43.691575+00:00,2026-03-04 07:43:38.140509+00:00
40,MAZDOCK,Mazagon Dock Shipbuilders Limited,2172.4,2214.4,2158.0,-1.6927738,3775.0,2125.9,36.413006,876302696448.0,669298.0,0.87,2026-03-04 07:46:44.054945+00:00,2026-03-04 07:43:51.178817+00:00
41,OIL,Oil India Limited,501.35,506.25,484.15,2.7270901,524.0,325.0,13.996371,815788064768.0,13768489.0,3.89,2026-03-04 07:46:44.390699+00:00,2026-03-04 07:44:02.862105+00:00
42,HAVELLS,Havells India Limited,1324.6,1340.0,1315.3,-2.1719878,1673.8,1250.1,55.890293,830913183744.0,498916.0,0.74,2026-03-04 07:46:44.622616+00:00,2026-03-04 07:44:15.594758+00:00
